	micha-ii-48	lancellotto-ii-48	lanzarote-ii-48
322	puis vet cueillir de l’erbe al cheval 	poscia va a cogliere dell’erba al cavallo lel 	e desque lo ovo desarmado 
323	et por fere lit al chevalier. 	per fare el letto del cavaliere. 	cogio dela yerua Parael cauallo 
324	Ensi est Boors remés chiés l’ermite, 	ilnsi rimase Boordo a casa il romito, 	Ansi finco enla hermita 
325	et la damoisele de Glocedun chevalcha 	e la damigella di Locidin cavalca tanto 	e la donçella de glaçedon andubo tanto 
326	tant a qu’ele encontra cele de Honguefort; 	ch’ella fu partita di suo castello |ch’ella trovò quella d’Unguelforte. 	fastaque encontro ala señora de ongeforte 
327	si s’entresaluent, 	Si si trasalutano, 	e ellas se saluaron 
328	mais molt se merveille cele de Glocedun, 	ma molto si maraviglia quella di Glocedin 	e la donzella De glazedon se marauillo mucho 
329	quant ele voit sa cosine si atornee et tote sa maisnie: 	quand’ella vide sua cugina |si aconcia e tutta sua masnada, 	quando vido asi venir asu parienta |e a todas su conpaña 
330	si li demande l’acheison 	si non si può tenere |ch’ella non la domandi la cagione. 	e preguntaronle la Razon 
331	et cele li conte de chief en chief 	E quella le conta di capo in capo 	porque hera aquello asi 
332	et dist 	e dice 	e la donzella de ongeforte selo conto todo de cabo a cabo 
333|334|335|336|337|338	que jamés ne finera d’errer |jusqu’el ait le chevalier trové, « |et bien sachiés, |fet ele, |bele cosine, |que c’est li plus bials chevaliers et li mieldres 	che giamai non finirà d’andare infino a tanto |ch’ella abbia il cavaliere trovato, |e ben sapiate, bella cugina, |che ciò è il più bel cavaliere |e l miglior 	Como le contesçio conel cauallero |e mi buena parienta bien|sabed que el es el mas fermoso cauallero 
339	que je onques mes veisse, 	ch’io unque vedessi, 	que nunca vi 
340	et si est encore jovenes enfés; 	si è ancora giovane infante; 	e nunca quedare de andar |asi fasta quelo falle 
341|342	si ai tel duel, |quant il me membre de la vilenie	sì ò tal duolo qualunche ora mi ricordo della villania	ca sabed que el es el mejor cauallero Del mundo |e mas cortes |e es muy niño |e quando me mienbro dela descortesia e dela villania
